,Time,User,Tweet,Location,Retweets
0,2023-03-29 21:22:53+00:00,tribunephl,"The UN General Assembly took a major step towards urgent global climate action Wednesday as members adopted a resolution calling for the world body’s top court to outline nations’ legal obligations related to curbing warming.

Full story: https://t.co/sWUlRyI9kl",Makati City,0
1,2023-03-29 21:22:09+00:00,Jillyo37,@RobinApplebyMD And what’s really odd to me is that they don’t teach about global warming in school or online or bombarded with facts on social media. All we hear about is “climate change” but nothing else to qualify climate change.,,0
2,2023-03-29 21:20:25+00:00,dh_a_heller,"RT @GreenpeaceNZ: This is chilling.

With the current global warming trajectory, the melting of Antarctica’s ice sheets could put surroundi…",Earth / Switzerland,4
3,2023-03-29 21:18:30+00:00,JoeWill20779922,"@PatrickByrne The climate change models were flawed from the beginning and then everyone used them as their baseline. Please stay where you are, Greta will be there shortly to get your Global Warming membership card.",Planet Earth,0
4,2023-03-29 21:18:13+00:00,Just_Sayin2021,"RT @VigilantFox: The Climate ""Experts"" Have Been Way Off for a Long Time

AP (1989): ""Entire nations could be wiped off the face of the ear…",,934
5,2023-03-29 21:18:08+00:00,pauljstorey,"RT @VigilantFox: The Climate ""Experts"" Have Been Way Off for a Long Time

AP (1989): ""Entire nations could be wiped off the face of the ear…","Exeter, Ontario, Canada",934
6,2023-03-29 21:17:30+00:00,DennisPChiu,"RT @VigilantFox: The Climate ""Experts"" Have Been Way Off for a Long Time

AP (1989): ""Entire nations could be wiped off the face of the ear…","Maryland, USA",934
7,2023-03-29 21:17:08+00:00,JazzyJ1704,"RT @VigilantFox: The Climate ""Experts"" Have Been Way Off for a Long Time

AP (1989): ""Entire nations could be wiped off the face of the ear…","Chicago, IL",934
8,2023-03-29 21:16:47+00:00,indy_climate,Swiss women take government to European court in first climate case https://t.co/7LvOn308Re,,0
9,2023-03-29 21:16:45+00:00,JustinPulitzer,"""Climate Change"" is a scam to redistribute your money to large Democrat donors... So they can donate more to Democrats. Best weather forecasts only predict 10 days out. First is was global cooling in 70s, then global warming in 80s-90s, now it's the catch all ""climate change"". https://t.co/Mrb9BtW7t8","New York, NY",0
10,2023-03-29 21:15:50+00:00,JonathanTilt,"Chris Quartermaine demolishes the fraud and the fiction that is human induced global warming https://t.co/aUwoYzBC8g
With many of the 300 Vote Freedom supported candidates campaigning against 15 minute cities etc it's essential that we destroy the fraud that underpins the  scam.",clayton west,0
11,2023-03-29 21:15:44+00:00,FlowerandFist,@ThruNoiz @lasee_frank Catastrophic Anthropogenic Global Warming ''science'' is not evidence based. There's not one shred of evidence to support such nonsense. The adherents of the faith-based hypothesis are cultists of the low-intelligence religion of climate catastrophism.,South of 52 ,0
12,2023-03-29 21:15:35+00:00,Legendremilie,"RT @POLITICOEurope: Vanuatu initiated a UN resolution, co-sponsored by 119 countries, asking the International Court of Justice to give its…","Paris, France",11
13,2023-03-29 21:15:19+00:00,Janekalamat,"RT @VigilantFox: The Climate ""Experts"" Have Been Way Off for a Long Time

AP (1989): ""Entire nations could be wiped off the face of the ear…",,934
14,2023-03-29 21:15:02+00:00,gecko39,"RT @gecko39: Author, “The New Climate War” @MichaelEMann react to UN dire warning to countries 

https://t.co/RbN12NMu44

to half 2030 carb…",,3
15,2023-03-29 21:14:46+00:00,Ingrid77980505,"There’s been no observed increase in the frequency of major tornadoes over time.  
But given the pervasive influence of global warming on the atmosphere, it's unavoidable that climate change would impact tornadoes too, says Victor Gensini, a weather expert https://t.co/ogzt2cBwIV","Barranquilla, Colombia",0
16,2023-03-29 21:12:42+00:00,abi28,"RT @TonyRobinsonOBE: England is not ready for the unavoidable impacts of global warming, the government's advisers on climate change say.…",Lincolnshire,2
17,2023-03-29 21:07:23+00:00,chuck_thomas,@disclosetv Yellen is it climate change or global warming? And what happens when we start pumping all that carbon deep into the ground?,"Catholic, Louisiana",0
18,2023-03-29 21:07:12+00:00,globalcompact,"📢 The UN @globalcompact strongly supports the call made by UN SG @antonioguterres at #EconSustainability Week, urging the private sector to take immediate action to limit global warming to 1.5°C.

👉 Read here: https://t.co/qGPwReCYo7
👉 Take action: https://t.co/K6BhkFtyLN https://t.co/wKWxgcxn9u","New York, NY",0
19,2023-03-29 21:06:55+00:00,FocoSistemas_,"RT @nytclimate: The measure was adopted by consensus, reflecting widespread frustration over the slow pace of progress on global warming.…",US,7
20,2023-03-29 21:05:41+00:00,carlosrittl,"RT @POLITICOEurope: Vanuatu initiated a UN resolution, co-sponsored by 119 countries, asking the International Court of Justice to give its…",,11
21,2023-03-29 21:05:13+00:00,Dorunda,"RT @VigilantFox: The Climate ""Experts"" Have Been Way Off for a Long Time

AP (1989): ""Entire nations could be wiped off the face of the ear…",SC - Southern Freedom Zone,934
22,2023-03-29 21:04:42+00:00,Babblekakes2,"@BestForBritain Millions of Wind turbines, all across the globe, on land and in sea, all running in different directions, disrupting the natural weather patterns.. Welcome to the “climate change/global warming” HOAX!!! 🤷‍♀️🤷‍♀️🤷‍♀️",,0
23,2023-03-29 21:04:33+00:00,DakotaMD14,"RT @VigilantFox: The Climate ""Experts"" Have Been Way Off for a Long Time

AP (1989): ""Entire nations could be wiped off the face of the ear…",,934
24,2023-03-29 21:04:21+00:00,Piratemike99,"@NYGcrush @jason_howerton @jimmykimmel Was that before ""climate change"" &amp; ""global warming""?",United States,0
25,2023-03-29 21:04:16+00:00,KarlMathiesen,"RT @POLITICOEurope: Vanuatu initiated a UN resolution, co-sponsored by 119 countries, asking the International Court of Justice to give its…","Brussels, Belgium",11
26,2023-03-29 21:02:46+00:00,BrianGrant12one,"RT @MatthewWielicki: The global temp, if there is such a thing, according to the @IPCC_CH, has increased by about 1.1°C in about two centur…","Fall River, MA",256
27,2023-03-29 21:02:21+00:00,tmcmahon21,"@Josieamycashman UN are under Communism control they are helping pushing world greatest CON Climate Change,or Is Global Warming it a SCAM or HOAX it’s bullshit",Australia,0
28,2023-03-29 21:01:27+00:00,jparker4359,"@FoxNews We got men loving men. Women loving women another lie. We are told our border is secure and made more progress than Trumps border.A LIE, our climate is warming up cause of Global warming  another  lie.  The last warm up what caused that, there were no cars . A Lie.",LaCenter  Ky.,0
29,2023-03-29 21:01:19+00:00,wayne161718,"RT @VigilantFox: The Climate ""Experts"" Have Been Way Off for a Long Time

AP (1989): ""Entire nations could be wiped off the face of the ear…",,934
30,2023-03-29 21:01:07+00:00,Babblekakes2,"@RaheemKassam Millions of Wind turbines, all across the globe, on land and in sea, all running in different directions, disrupting the natural weather patterns.. Welcome to the “climate change/global warming” HOAX!!! 🤷‍♀️🤷‍♀️🤷‍♀️",,0
31,2023-03-29 20:59:28+00:00,jamesricharthor,RT @GeorgiaLogCabin: Biden to give US taxpayer money to foreign global warming activists https://t.co/AVOerjFtUN,The House of Usher,20
32,2023-03-29 20:59:14+00:00,ubcvancouverliu,"RT @VigilantFox: The Climate ""Experts"" Have Been Way Off for a Long Time

AP (1989): ""Entire nations could be wiped off the face of the ear…","Vancouver, British Columbia",934
33,2023-03-29 20:58:15+00:00,Aeate,"RT @UNFCCC: 🔵 Time
⚪️ to
🟡 flatten
🟠 the
🔴 curve

Our 🌎 has already warmed by about 1.2°C.

On today's #WorldMetDay, let's remember that ev…",,874
34,2023-03-29 20:56:02+00:00,TransformerInd2,@marinebharat @darshanpm1992 The most developed countries also suffer water logging for days and increase in Nature's fury due to Global warming and ever changing climate conditions across the world is going to cause serious problems for island cities and countries in future.,,0
