,Time,User,Tweet,Location,Retweets
0,2023-02-17 20:33:27+00:00,nealasher,RT @MatthewWielicki: Anytime someone talks about a mean global temperature anomaly show them this plot that puts it in context of the natur…,England & Crete,115
1,2023-02-17 20:32:19+00:00,BarryJWoods,RT @MatthewWielicki: Anytime someone talks about a mean global temperature anomaly show them this plot that puts it in context of the natur…,UK,115
2,2023-02-17 20:31:55+00:00,HansWewewe,RT @MatthewWielicki: Anytime someone talks about a mean global temperature anomaly show them this plot that puts it in context of the natur…,,115
3,2023-02-17 20:31:15+00:00,CoolingWorld992,"@jackf_g5 @BOM_Vic Never rely on these guys for anything, they keep changing their forecast and outlooks because they have absolutely NO clue.

They're more of a political body rather than a weather/climate body.
Their main concern is to push the global warming/climate change narrative.",Melbourne,0
4,2023-02-17 20:31:11+00:00,cocovski,"RT @Harry_Stevens: For every person that dies from heat exposure, about nine die from cold exposure. As global warming continues, will warm…","Bogotá, D.C., Colombia",146
5,2023-02-17 20:31:02+00:00,Towards2100,"Feedback loops make climate action even more urgent, scientists say: Researchers have identified 26 global warming accelerators known as amplifying feedback loops that the researchers say aren't being properly included in climate models. They note th.. https://t.co/48rwzVhyCi","Melbourne, Australia.",0
6,2023-02-17 20:30:49+00:00,daveharris17,RT @MatthewWielicki: Anytime someone talks about a mean global temperature anomaly show them this plot that puts it in context of the natur…,,115
7,2023-02-17 20:30:46+00:00,arbronsious,"RT @MarcoWi04483009: @CEO_UKTwinds It was ""Global Warming"" prior to that, the fear was global cooling, now, it's 'climate change'.  Is the…",,1
8,2023-02-17 20:30:45+00:00,seriousonly65,RT @groth1945: 🆘My Friends and Fellow Americans . As promised my KEY FINDINGS  ( in two minutes lol 😂) of the IPCC: GLOBAL WARMING of 1.5C…,,84
9,2023-02-17 20:30:05+00:00,Lilith_Assyria,RT @MatthewWielicki: Anytime someone talks about a mean global temperature anomaly show them this plot that puts it in context of the natur…,New Woke City,115
10,2023-02-17 20:29:13+00:00,AneeshaBedi,"RT @Harry_Stevens: For every person that dies from heat exposure, about nine die from cold exposure. As global warming continues, will warm…",India,146
11,2023-02-17 20:28:09+00:00,SusanJansen15,RT @eagleonetowanta: Weather Geo Engineering is already in use by the Globalist to destroy our planet &amp; genocide. They have  been caught us…,,5
12,2023-02-17 20:26:30+00:00,Bianca50406170,RT @MatthewWielicki: Anytime someone talks about a mean global temperature anomaly show them this plot that puts it in context of the natur…,a beautiful country,115
13,2023-02-17 20:26:05+00:00,tan123,RT @MatthewWielicki: Anytime someone talks about a mean global temperature anomaly show them this plot that puts it in context of the natur…,,115
14,2023-02-17 20:25:25+00:00,nikkelseyn,RT @MatthewWielicki: Anytime someone talks about a mean global temperature anomaly show them this plot that puts it in context of the natur…,,115
15,2023-02-17 20:24:58+00:00,ARookwood,"""“It's unarguable that man-made global warming is real and we are facing a climate emergency"" (Judge Wilkinson). What a pillock.

https://t.co/kimM8754tc","South East, England",0
16,2023-02-17 20:24:04+00:00,Ollie2016Wall1,RT @MatthewWielicki: Anytime someone talks about a mean global temperature anomaly show them this plot that puts it in context of the natur…,,115
17,2023-02-17 20:23:57+00:00,ShatteredCat75,RT @Deadon775: @pedavi @SenJohnKennedy Oh save it! We've been hearing your song and dance for years now. I'm 47 and I can remember being sc…,"North Carolina, USA",4
18,2023-02-17 20:23:52+00:00,KimCarrera007,RT @cnni: Dangerous climate feedback loops are increasing global warming and risk causing a permanent shift away from the Earth’s current c…,Australia,10
19,2023-02-17 20:22:52+00:00,begval,"Dangerous climate feedback loops are increasing global warming and risk causing a permanent shift away from the Earth’s current climate, according to a new study.
https://t.co/KovSJoJ2FH",Chile,0
